1139:377:4:"2000-11-22 08:29:17"
4725:3494:3:"2000-07-12 09:58:13"
4062:3784:4:"2000-08-05 14:50:48"
685:1663:3:"2000-11-30 17:42:26"
5359:457:4:"2000-06-09 15:05:43"
1800:1617:5:"2000-11-20 06:38:42"
840:2051:4:"2000-12-07 17:47:57"
5643:1136:5:"2000-05-21 08:09:52"
6016:2571:3:"2000-04-26 21:26:46"
42:3770:4:"2000-12-28 22:40:19"
3464:3185:3:"2000-08-25 05:31:38"
6016:372:2:"2000-04-26 23:45:49"
1884:918:3:"2000-12-02 07:23:54"
173:260:5:"2001-07-16 19:28:39"
3031:1392:4:"2000-10-01 01:11:14"
4079:3408:4:"2001-05-23 13:48:58"
3520:1219:4:"2000-08-22 14:29:52"
3329:1641:4:"2000-09-02 05:37:50"
1130:529:4:"2000-12-01 22:53:43"
1483:2161:3:"2000-11-20 22:16:26"
5656:1208:2:"2000-05-20 17:15:05"
5954:1213:5:"2000-05-07 00:35:54"
5593:1079:5:"2000-05-25 05:38:55"
2437:2194:4:"2000-11-16 06:16:35"
721:2468:3:"2000-12-10 17:20:55"
2188:2145:4:"2000-11-19 05:32:22"
2935:3203:4:"2000-12-17 03:23:20"
3618:319:3:"2000-08-18 13:27:23"
3835:1732:5:"2000-08-15 18:28:08"
3424:318:5:"2000-08-27 08:35:47"
4049:3165:3:"2000-08-05 19:47:13"
2874:3728:3:"2000-10-24 21:02:22"
777:1526:3:"2000-11-28 19:35:31"
3751:1414:4:"2000-08-13 03:25:47"
4227:2987:4:"2000-08-03 17:41:19"
4028:1614:5:"2000-08-13 22:57:12"
3688:1080:4:"2000-09-14 04:31:13"
5787:2871:4:"2001-03-10 03:09:05"
1741:232:5:"2000-11-20 10:07:02"
4524:2355:4:"2000-07-28 21:30:47"
6035:637:1:"2000-04-26 03:44:51"
3504:1883:4:"2000-08-28 17:58:40"
1451:1873:5:"2000-12-03 08:05:19"
1980:3901:1:"2000-11-20 02:39:15"
4791:357:1:"2000-07-07 21:17:22"
3885:2453:2:"2000-08-30 18:23:07"
3491:2003:4:"2000-08-23 18:23:22"
5917:1276:3:"2000-05-03 16:55:09"
5636:2396:4:"2000-05-22 05:44:24"
660:1962:3:"2000-12-01 20:23:38"
3189:466:1:"2000-09-25 07:54:25"
3999:173:3:"2000-08-06 16:52:42"
3763:1291:5:"2000-08-12 16:51:25"
5544:213:5:"2000-05-28 09:30:37"
1600:3248:2:"2000-11-20 22:41:02"
5387:3831:3:"2002-01-03 19:21:20"
543:1726:4:"2000-12-06 17:54:30"
4588:3114:4:"2000-07-23 03:24:25"
5587:2683:4:"2000-05-25 19:38:34"
5738:798:4:"2000-05-15 21:01:50"
2235:3358:4:"2000-11-19 07:06:59"
3892:2762:5:"2000-08-09 06:51:26"
1579:2423:4:"2001-09-19 06:55:38"
3182:2423:4:"2000-09-12 18:11:48"
6036:3535:4:"2000-04-26 14:37:27"
1802:3735:5:"2000-11-20 19:17:31"
934:1003:3:"2001-06-14 22:02:44"
4781:3363:4:"2000-07-08 00:25:54"
5750:2858:4:"2000-05-24 16:09:38"
4834:1080:2:"2001-01-09 19:40:24"
735:3835:3:"2000-12-01 19:28:51"
3336:1320:3:"2000-09-02 02:18:00"
533:21:3:"2000-12-06 23:32:37"
1369:527:5:"2001-11-01 07:22:17"
4457:153:2:"2000-07-31 22:19:41"
2895:265:4:"2000-10-24 18:03:44"
256:3430:3:"2000-12-13 04:29:18"
5598:1036:5:"2000-05-25 02:40:23"
2834:1944:4:"2000-10-26 20:38:15"
4233:3543:4:"2000-08-03 16:23:56"
1308:2890:4:"2000-11-21 06:34:14"
2565:2961:3:"2000-11-11 21:22:59"
2215:3556:4:"2000-11-19 03:41:38"
5940:2336:3:"2000-05-01 21:46:29"
2241:968:4:"2000-11-19 02:22:17"
1387:1610:4:"2000-11-21 01:14:50"
4167:2664:3:"2000-08-09 20:34:37"
1754:2706:2:"2000-11-20 07:37:37"
4053:1298:4:"2000-08-05 19:17:32"
5222:3036:1:"2000-06-20 21:46:45"
3499:2054:3:"2000-08-25 22:04:22"
4234:914:4:"2000-08-03 21:52:30"
3191:3827:4:"2000-09-11 07:13:40"
3621:1217:5:"2000-08-18 07:30:07"
5787:1347:2:"2001-09-22 04:01:00"
1028:524:4:"2000-11-23 18:48:09"
1853:785:4:"2000-11-23 23:48:14"
146:2262:4:"2001-01-19 22:39:05"
3746:2716:4:"2002-03-04 22:58:52"
5881:1894:2:"2000-05-05 19:52:55"
4115:3501:3:"2000-08-04 07:20:25"
3007:1680:4:"2000-10-03 04:39:36"
4510:609:2:"2000-08-20 18:22:58"
5982:1036:5:"2000-04-28 17:25:55"
1780:47:3:"2001-05-04 18:32:24"
1794:474:2:"2000-11-20 08:25:00"
4302:1271:4:"2000-08-03 03:54:03"
2683:1240:5:"2001-01-20 05:15:50"
3031:2128:4:"2000-10-01 21:51:41"
236:50:4:"2000-12-14 04:34:10"
4771:858:4:"2000-07-09 16:04:49"
120:1036:1:"2000-12-30 05:17:06"
5151:2995:1:"2000-06-26 04:15:57"
2677:1617:2:"2000-11-05 04:40:58"
5360:3409:4:"2000-06-09 06:06:40"
4122:1288:4:"2000-08-04 05:12:17"
1004:616:3:"2000-11-24 07:07:32"
5365:466:3:"2000-06-09 00:40:02"
4285:2138:3:"2000-08-03 06:54:58"
3301:1202:2:"2001-09-10 06:19:23"
4739:3448:4:"2000-07-11 01:49:22"
695:3843:3:"2000-11-30 17:49:50"
1130:2770:3:"2000-11-22 14:42:22"
824:1220:4:"2000-11-30 03:46:05"
5127:3354:1:"2000-06-27 21:38:38"
4018:2013:3:"2000-08-06 04:04:48"
5057:1234:4:"2000-07-01 23:09:16"
1794:1836:2:"2001-06-22 12:01:34"
4183:442:2:"2000-08-03 21:39:28"
3413:2716:4:"2002-09-08 01:12:38"
3729:678:5:"2000-08-14 03:09:32"
764:1371:5:"2000-11-29 00:16:43"
3154:10:3:"2000-11-04 02:55:32"
5074:1721:4:"2000-07-01 10:07:19"
388:2245:3:"2000-12-08 19:47:15"
4979:2136:4:"2001-03-14 05:54:57"
4234:2005:2:"2000-08-03 15:53:00"
2222:2371:4:"2000-11-19 03:16:19"
5795:2749:4:"2000-05-11 23:09:55"
2251:3169:3:"2000-11-19 02:51:23"
3904:1042:4:"2000-08-08 22:23:27"
1298:1221:4:"2000-11-21 19:42:39"
5744:898:4:"2000-05-17 05:20:18"
4680:851:2:"2000-07-16 00:00:14"
4018:2802:3:"2000-08-06 04:24:12"
2507:215:4:"2000-11-13 03:20:31"
5548:1475:2:"2000-05-28 04:43:48"
5344:1888:3:"2000-06-11 01:33:32"
1776:909:4:"2000-11-20 09:37:29"
3453:527:5:"2000-08-25 23:33:47"
4662:207:2:"2000-07-17 23:37:03"
1875:780:4:"2000-12-02 16:04:42"
4318:1027:5:"2000-08-04 11:07:00"
2621:1704:3:"2000-11-08 04:48:13"
789:2395:3:"2000-11-28 17:39:49"
5785:2961:2:"2000-05-12 18:27:55"
4001:2269:3:"2000-08-06 19:54:56"
3826:593:5:"2000-08-12 00:51:52"
4946:3475:5:"2000-07-03 18:17:04"
3195:858:5:"2000-09-11 05:12:28"
4816:1610:5:"2000-07-28 01:55:59"
229:3174:4:"2002-12-10 08:04:16"
2756:2762:4:"2002-03-13 21:37:38"
58:1610:4:"2000-12-27 18:31:55"
4013:2815:2:"2000-08-06 06:33:46"
3539:1432:4:"2000-08-22 09:44:07"
4505:2146:4:"2000-07-30 23:35:51"
2100:1625:4:"2000-11-19 22:43:24"
5880:505:3:"2000-05-05 20:07:16"
2129:1912:5:"2001-03-01 04:35:30"
4096:594:5:"2000-08-04 22:50:05"
3751:1527:3:"2000-08-13 04:19:02"
4659:2959:3:"2000-07-18 01:15:48"
3648:2243:2:"2001-10-11 20:00:28"
1978:3489:3:"2001-01-12 22:54:42"
424:3793:4:"2000-12-28 15:08:44"
3771:2991:3:"2000-08-12 05:07:21"
5445:1136:5:"2000-06-02 21:13:08"
2345:919:4:"2000-11-16 23:18:11"
713:1262:5:"2000-11-29 23:01:52"
2756:1234:4:"2001-03-31 01:25:09"
3044:2795:3:"2000-09-29 09:15:30"
970:2797:4:"2000-11-26 07:38:36"
3289:2505:4:"2000-09-04 20:59:40"
3576:362:3:"2000-08-19 23:37:46"
3425:3266:5:"2000-08-27 06:58:58"
1009:969:5:"2000-11-24 02:07:22"
2204:1008:3:"2000-11-19 04:10:46"
5317:2081:4:"2000-06-13 17:08:46"
6000:2180:4:"2000-04-28 03:22:17"
1058:1408:5:"2001-02-04 19:46:26"
6016:377:3:"2000-04-26 21:29:59"
889:3512:2:"2000-11-26 15:19:40"
1837:3826:2:"2001-06-27 22:52:01"
5523:1:5:"2000-05-30 02:12:03"
1088:153:4:"2000-11-23 00:33:12"
3611:1960:5:"2000-08-18 16:52:27"
1323:1103:4:"2000-11-22 03:32:04"
514:2997:5:"2000-12-07 16:43:59"
4607:448:5:"2000-07-23 01:09:03"
3650:2735:2:"2000-10-05 21:01:40"
3018:459:3:"2000-10-02 23:32:29"
2181:804:2:"2000-11-19 06:35:49"
788:592:4:"2000-11-28 17:55:07"
3382:3799:1:"2000-08-29 19:43:07"
2352:3840:2:"2000-11-16 20:13:08"
4725:594:4:"2000-07-12 06:12:08"
1606:185:5:"2000-11-20 16:55:19"
5615:1079:3:"2000-05-26 04:06:37"
2047:1517:4:"2000-11-20 03:15:53"
3272:912:4:"2000-09-06 01:28:10"
3280:2497:2:"2000-09-07 19:19:02"
3388:497:4:"2000-08-29 05:37:39"
2088:1206:5:"2000-11-19 18:24:32"
4043:1917:3:"2000-08-05 21:39:25"
3729:3591:3:"2000-08-14 03:44:48"
706:764:3:"2000-11-30 01:42:42"
4178:3418:3:"2000-08-03 21:37:28"
2098:1591:1:"2000-11-19 18:30:49"
3526:2565:4:"2000-08-30 06:44:38"
5305:1704:3:"2000-06-14 01:44:42"
3691:589:5:"2000-08-15 05:02:15"
890:1499:3:"2001-01-22 04:17:35"
5852:3257:1:"2000-05-08 05:40:30"
169:3107:3:"2000-12-19 08:31:59"
5783:2291:4:"2000-05-12 19:22:50"
969:2599:5:"2000-11-25 01:40:25"
4408:2118:3:"2000-08-02 00:20:31"
5371:1210:4:"2000-06-08 18:36:17"
4337:2554:3:"2000-08-04 01:42:01"
3432:1457:3:"2000-08-27 02:52:25"
1298:1219:4:"2000-11-21 22:23:44"
177:1204:5:"2000-12-18 01:35:41"
5978:1294:5:"2000-04-28 23:57:20"
3029:1597:4:"2000-10-01 03:47:44"
5312:1219:4:"2000-06-29 20:29:39"
3841:2780:4:"2000-08-11 15:34:48"
5917:3363:5:"2000-05-03 16:56:13"
716:861:3:"2000-11-29 22:16:13"
3825:3173:4:"2000-08-10 23:41:53"
2665:2118:4:"2000-11-06 01:49:44"
5312:2457:4:"2000-06-28 04:06:43"
2889:2078:5:"2000-10-21 05:01:01"
5682:3178:4:"2002-07-15 08:14:28"
4579:2927:5:"2001-11-10 04:16:39"
1778:1380:4:"2000-12-05 11:16:33"
5738:2476:2:"2000-05-15 21:00:10"
5955:1210:4:"2000-04-30 17:31:54"
532:3287:3:"2000-12-06 23:06:36"
3833:2376:3:"2001-02-15 20:11:07"
225:2329:4:"2000-12-14 23:17:34"
296:1282:2:"2000-12-11 08:54:51"
3442:2450:1:"2000-08-26 18:03:18"
808:2606:4:"2000-11-28 07:40:15"
475:3354:3:"2000-12-07 21:04:49"
1611:1892:3:"2001-04-19 06:56:21"
2092:428:5:"2000-12-31 23:59:03"
5466:2333:4:"2000-06-02 00:30:44"
3976:924:2:"2000-08-07 14:44:24"
3423:2916:4:"2000-08-27 09:21:09"
1698:2291:5:"2000-11-20 09:18:53"
377:2871:3:"2000-12-08 20:11:28"
2507:556:5:"2000-11-13 03:35:59"
4022:3247:3:"2000-08-06 03:29:05"
2868:1356:4:"2000-10-25 04:14:58"
3626:2124:3:"2000-08-18 12:53:09"
3167:1183:5:"2000-09-13 05:14:27"
3319:1959:5:"2000-09-02 20:46:08"
4271:2243:4:"2000-08-03 13:46:58"
62:3705:3:"2000-12-27 09:34:33"
3509:3868:3:"2000-08-28 18:12:42"
3568:1960:3:"2000-08-20 06:32:19"
4675:2918:5:"2000-07-18 08:28:01"
885:2053:4:"2000-11-26 17:44:19"
5271:1554:4:"2000-06-16 09:35:53"
5264:2890:5:"2000-06-16 20:42:39"
3999:1246:3:"2000-08-06 18:19:35"
3569:1029:3:"2000-09-06 20:19:52"
5528:3198:4:"2000-05-29 23:00:10"
4169:3090:5:"2000-08-08 02:05:12"
3315:1777:3:"2000-09-03 02:58:29"
4016:2749:3:"2000-08-06 05:44:44"
3339:2918:5:"2000-09-01 17:40:52"
1451:595:4:"2000-11-21 02:10:50"
1447:832:2:"2001-02-01 11:47:09"
5161:1222:5:"2000-06-25 06:49:07"
2340:3263:3:"2000-11-17 02:40:54"
5367:256:2:"2000-06-09 00:54:33"
3993:1971:3:"2000-08-08 03:47:44"
1777:1196:4:"2000-11-20 07:06:38"
5112:3093:4:"2000-06-30 03:33:29"
1509:661:2:"2000-11-21 20:03:09"
3716:153:3:"2000-08-14 17:27:37"
2338:1129:2:"2000-11-17 03:53:37"
3560:3261:5:"2000-08-20 20:47:56"
5099:1754:4:"2000-06-30 14:09:02"
1457:639:4:"2001-03-02 02:28:10"
4501:1270:3:"2000-07-30 22:35:09"
3769:1343:4:"2000-08-19 00:22:30"
3101:2502:5:"2000-09-21 23:46:26"
3304:2329:5:"2000-09-03 20:47:59"
