Numero_pedido|producto|cantidad|precio|linea_de_pedido
10123|S18_3685|34|156,82|4
10123|S24_1628|50|59,87|1
10124|S18_1749|21|136|6
10124|S18_2248|42|53,88|5
10124|S18_2325|42|105,52|3
10124|S18_4409|36|85,59|7
10124|S18_4933|23|57,73|8
10124|S24_1046|22|77,9|12
10124|S24_1937|45|37,84|2
10124|S24_2022|22|45,25|1
10124|S24_2766|32|72,7|10
10124|S24_2887|25|93,95|9
10124|S24_3191|49|83,04|11
10124|S24_3432|43|121|13
10124|S24_3969|46|33,23|4
10125|S18_1342|32|101,71|1
10125|S18_2795|34|190,69|2
10126|S10_1949|38|192,87|11
10126|S10_4962|22|152,17|4
10126|S12_1666|21|116,17|8
10126|S18_1097|38|101,5|10
10126|S18_1367|42|54,99|17
10126|S18_2432|43|65,02|2
10126|S18_2949|31|90,17|12
10126|S18_2957|46|73,7|14
10126|S18_3136|30|97,39|13
10126|S18_3320|38|82,34|16
10126|S18_4600|50|141,66|5
10126|S18_4668|43|53,83|9
10126|S24_2300|27|126,51|1
10126|S24_4258|34|105,18|15
10126|S32_1268|43|96,31|3
10126|S32_3522|26|62,7|7
10126|S700_2824|45|102,16|6
10127|S12_1108|46|245,2|2
10127|S12_3148|46|160,14|3
10127|S12_3891|42|193,78|1
10127|S12_4473|24|106,65|11
